;HomeTeam;AwayTeam;FTHG;FTAG;FTR;HTHG;HTAG;HTR;HS;AS;HST;AST;HF;AF;HC;AC;HY;AY;HR;AR
2467;Sunderland;Man City;1;0;H;1;0;H;9;9;5;3;14;18;8;6;2;2;0;0
2469;Arsenal;Leicester;6;1;H;1;0;H;27;2;15;2;14;11;14;0;0;0;0;0
2475;Middlesbrough;Liverpool;1;0;H;1;0;H;7;11;2;5;7;9;2;6;2;2;0;0
2476;Newcastle;Leeds;2;1;H;2;1;H;13;8;4;5;23;17;7;2;4;2;0;0
2477;West Ham;Charlton;5;0;H;3;0;H;17;12;10;8;19;11;5;8;1;0;0;0
2478;Southampton;Tottenham;2;0;H;2;0;H;17;7;6;2;17;13;4;4;1;3;0;0
2480;Ipswich;Tottenham;3;0;H;1;0;H;18;6;9;3;13;17;10;5;0;0;0;0
2484;Southampton;Derby;1;0;H;0;0;D;10;9;5;5;17;10;7;6;0;2;0;0
2485;Charlton;Arsenal;1;0;H;1;0;H;9;10;4;5;15;12;6;12;1;1;0;0
2486;Chelsea;Aston Villa;1;0;H;1;0;H;13;7;5;3;15;19;2;5;0;1;0;0
2488;Derby;Everton;1;0;H;1;0;H;7;9;3;6;9;18;5;11;2;3;0;0
2491;Liverpool;Southampton;2;1;H;1;1;D;16;7;8;3;8;5;15;2;0;1;0;0
2492;Man United;West Ham;3;1;H;2;0;H;25;9;12;5;17;13;8;2;1;2;0;0
2493;Sunderland;Ipswich;4;1;H;1;1;D;16;9;9;3;15;10;4;3;1;5;0;0
2494;Tottenham;Newcastle;4;2;H;3;1;H;16;9;10;4;11;10;9;6;0;2;1;2
2500;Middlesbrough;Derby;4;0;H;1;0;H;13;6;8;3;8;14;4;5;0;4;0;0
2501;Newcastle;Coventry;3;1;H;1;0;H;11;12;6;5;6;9;2;7;0;3;0;0
2504;Ipswich;Leicester;2;0;H;0;0;D;22;6;9;3;14;10;8;1;1;1;0;0
2505;Chelsea;Ipswich;4;1;H;1;1;D;23;5;10;2;11;12;11;1;3;0;0;1
2511;Man United;Aston Villa;2;0;H;0;0;D;12;5;7;3;10;19;7;3;1;2;0;0
2516;Arsenal;Bradford;2;0;H;2;0;H;20;6;8;2;12;14;6;3;1;2;0;0
2517;Charlton;Derby;2;1;H;1;1;D;13;6;9;3;13;14;9;3;2;1;0;0
2518;Chelsea;Newcastle;3;1;H;1;1;D;14;4;4;2;12;19;7;2;1;3;0;0
2520;Leeds;Coventry;1;0;H;0;0;D;11;3;6;1;18;19;9;2;4;5;0;0
2522;Southampton;Leicester;1;0;H;0;0;D;10;6;5;3;14;12;3;3;0;3;0;0
2527;Derby;Sunderland;1;0;H;1;0;H;9;17;3;5;16;18;3;4;7;3;0;0
2529;Leicester;Chelsea;2;1;H;1;0;H;10;8;5;4;7;13;2;7;0;1;0;0
2530;Liverpool;West Ham;3;0;H;2;0;H;14;8;10;3;9;6;5;3;0;1;0;1
2531;Man United;Everton;1;0;H;0;0;D;8;5;1;1;8;11;2;5;0;2;0;0
2535;Arsenal;Ipswich;1;0;H;0;0;D;17;5;10;3;16;15;11;3;2;1;0;0
2538;Everton;Leicester;2;1;H;2;0;H;9;9;6;2;12;7;7;2;3;2;0;0
2541;Southampton;Bradford;2;0;H;0;0;D;12;4;6;1;9;16;8;0;0;1;0;0
2543;Charlton;Newcastle;2;0;H;2;0;H;11;5;4;3;10;12;4;11;2;1;0;0
2547;Derby;Aston Villa;1;0;H;1;0;H;9;19;5;7;9;10;1;9;1;1;0;0
2548;Ipswich;Everton;2;0;H;0;0;D;12;8;6;2;11;14;3;2;1;2;0;1
2549;Leicester;Sunderland;2;0;H;1;0;H;11;9;7;3;13;16;6;5;0;4;0;1
2553;Man United;Arsenal;6;1;H;5;1;H;16;6;9;2;10;6;3;3;0;0;0;0
2554;Arsenal;West Ham;3;0;H;3;0;H;16;4;6;2;19;12;5;6;2;3;0;0
2556;Derby;Tottenham;2;1;H;2;0;H;8;13;4;7;20;12;6;7;2;3;0;0
2559;Leicester;Liverpool;2;0;H;0;0;D;9;8;7;3;9;7;4;7;1;1;0;0
2562;Ipswich;Bradford;3;1;H;0;1;A;21;7;8;5;13;14;7;2;0;4;0;0
2565;Aston Villa;Ipswich;2;1;H;0;1;A;9;8;5;3;15;11;6;2;1;1;0;0
2569;Man United;Leicester;2;0;H;0;0;D;19;5;8;2;11;13;14;2;1;1;0;0
2571;Southampton;Everton;1;0;H;0;0;D;17;5;5;1;13;18;6;6;1;1;0;0
2572;Tottenham;Coventry;3;0;H;2;0;H;12;11;4;5;13;10;5;8;0;1;0;0
2576;Arsenal;Tottenham;2;0;H;0;0;D;25;4;19;3;5;6;12;2;0;1;0;0
2578;Chelsea;Middlesbrough;2;1;H;1;0;H;17;7;5;3;19;10;4;3;2;1;0;0
2579;Coventry;Derby;2;0;H;1;0;H;12;14;7;8;12;16;9;4;0;1;1;0
2580;Liverpool;Man United;2;0;H;2;0;H;15;9;6;3;8;8;6;4;1;1;1;0
2584;Charlton;Leicester;2;0;H;1;0;H;16;5;9;1;12;9;6;2;2;2;0;0
2586;Aston Villa;Leicester;2;1;H;1;1;D;9;6;5;2;11;12;10;3;2;2;0;0
2589;Leeds;Southampton;2;0;H;1;0;H;15;6;7;2;10;11;10;1;0;0;0;0
2591;Everton;Man City;3;1;H;2;1;H;11;13;7;5;17;18;8;8;0;3;1;1
2594;Man United;Charlton;2;1;H;1;0;H;23;3;8;2;8;9;12;4;1;1;0;0
2595;Tottenham;Bradford;2;1;H;1;1;D;17;10;13;5;13;9;5;7;1;1;0;0
2597;Bradford;Charlton;2;0;H;0;0;D;4;3;8;8;13;21;3;7;1;3;0;0
2600;Aston Villa;Everton;2;1;H;1;1;D;8;5;5;3;13;14;5;3;0;3;0;0
2601;Chelsea;Southampton;1;0;H;1;0;H;14;9;8;5;11;19;7;6;3;3;0;0
2602;Ipswich;Newcastle;1;0;H;0;0;D;14;6;5;2;6;13;9;3;0;1;0;1
2604;Man United;Coventry;4;2;H;2;2;D;28;9;13;4;9;18;9;2;1;4;0;0
2606;West Ham;Derby;3;1;H;3;0;H;18;6;10;3;10;18;3;5;0;2;0;0
2607;Coventry;Sunderland;1;0;H;1;0;H;14;6;9;3;15;21;6;3;3;0;0;0
2608;Derby;Leicester;2;0;H;1;0;H;10;7;6;4;17;16;5;6;0;0;0;0
2611;Newcastle;West Ham;2;1;H;1;0;H;20;13;14;6;19;9;7;5;0;0;0;0
2614;Arsenal;Everton;4;1;H;1;1;D;10;4;8;2;7;13;10;0;0;2;0;1
2616;Bradford;Derby;2;0;H;1;0;H;15;12;9;3;14;13;3;8;0;2;0;1
2618;Ipswich;Coventry;2;0;H;1;0;H;13;6;5;2;22;23;2;3;1;4;0;0
2623;Liverpool;Tottenham;3;1;H;1;1;D;14;7;8;5;10;13;6;4;1;1;0;0
2626;Everton;Bradford;2;1;H;0;1;A;18;7;9;4;15;15;5;2;1;2;0;0
2627;Leeds;Chelsea;2;0;H;0;0;D;16;7;9;5;22;17;7;2;2;5;0;0
2628;Man City;West Ham;1;0;H;1;0;H;16;12;9;7;19;12;10;10;3;5;0;0
2630;Newcastle;Leicester;1;0;H;0;0;D;20;4;6;3;15;14;12;0;1;1;0;0
2633;Charlton;Ipswich;2;1;H;1;1;D;10;17;7;6;17;11;2;13;0;1;0;0
2636;Arsenal;Leeds;2;1;H;1;0;H;7;4;4;3;21;18;11;2;4;3;0;0
2637;Aston Villa;Coventry;3;2;H;0;2;A;6;6;4;3;12;23;6;2;2;5;0;0
2639;Chelsea;Everton;2;1;H;2;1;H;13;9;5;3;19;22;8;6;1;1;0;0
2640;Leicester;Tottenham;4;2;H;1;0;H;19;9;9;4;11;14;6;2;3;2;0;0
2641;Liverpool;Newcastle;3;0;H;1;0;H;12;6;5;3;11;10;2;3;0;2;0;0
2643;Sunderland;Charlton;3;2;H;2;1;H;17;17;11;7;17;7;8;5;1;0;0;0
2644;West Ham;Southampton;3;0;H;0;0;D;16;12;12;3;18;18;5;1;2;2;0;0
2645;Ipswich;Man City;2;1;H;0;0;D;15;11;7;7;8;19;9;2;0;0;0;0
2647;Leeds;Bradford;6;1;H;5;1;H;18;13;9;7;20;13;9;7;1;0;0;0
2648;Southampton;Man United;2;1;H;2;0;H;14;9;3;6;13;18;4;4;1;1;0;0
2654;Leeds;Leicester;3;1;H;1;1;D;24;8;11;5;14;17;12;5;3;4;0;0
2656;Middlesbrough;West Ham;2;1;H;2;1;H;19;11;7;5;13;15;5;6;0;0;0;0
2657;Newcastle;Aston Villa;3;0;H;2;0;H;9;5;5;1;10;14;5;1;0;5;1;1
2658;Southampton;Arsenal;3;2;H;0;1;A;11;8;7;5;17;10;7;5;1;2;0;0
2659;Tottenham;Man United;3;1;H;1;1;D;9;15;3;6;13;15;3;6;0;2;0;0
2660;Charlton;Man City;4;0;H;2;0;H;17;8;14;4;13;12;6;6;1;2;0;0
2661;Chelsea;West Ham;4;2;H;1;0;H;17;12;10;5;19;14;7;7;1;2;0;0
2664;Leeds;Everton;2;0;H;2;0;H;17;12;8;6;21;20;6;4;1;3;0;0
2666;Liverpool;Bradford;1;0;H;0;0;D;16;3;10;2;8;8;6;1;1;1;0;0
2667;Sunderland;Arsenal;1;0;H;0;0;D;8;14;2;7;10;21;2;9;3;1;0;1
2668;Tottenham;Ipswich;3;1;H;2;1;H;20;15;6;5;14;13;3;4;0;0;0;0
2669;Man United;Newcastle;2;0;H;1;0;H;19;9;9;6;7;13;7;1;0;1;0;0
2670;Arsenal;Liverpool;2;0;H;1;0;H;17;7;12;4;25;20;10;11;2;4;1;2
2671;Bradford;Chelsea;2;0;H;1;0;H;12;14;3;6;14;16;6;4;0;1;0;0
2674;Everton;Charlton;3;0;H;0;0;D;13;8;8;4;17;15;3;5;2;1;0;1
2675;Man City;Sunderland;4;2;H;2;0;H;15;9;10;4;24;14;7;3;3;3;0;0
2676;Newcastle;Derby;3;2;H;1;1;D;9;10;4;5;23;11;9;6;0;3;1;0
2679;Arsenal;Charlton;5;3;H;1;2;A;18;7;9;4;12;15;8;3;0;1;0;0
