Arquivo: leitura.c
========================================

 ID | Token                  |  Linha | Coluna | Lexema
----+------------------------+--------+--------+---------------------
 84 | TKHash                 |      1 |      1 | #
  1 | TKId                   |      1 |      2 | include
 66 | TKMenor                |      1 |     10 | <
  1 | TKId                   |      1 |     11 | string
 80 | TKPonto                |      1 |     17 | .
  1 | TKId                   |      1 |     18 | h
 67 | TKMaior                |      1 |     19 | >
 84 | TKHash                 |      2 |      1 | #
  1 | TKId                   |      2 |      2 | include
 66 | TKMenor                |      2 |     10 | <
  1 | TKId                   |      2 |     11 | stdio
 80 | TKPonto                |      2 |     16 | .
  1 | TKId                   |      2 |     17 | h
 67 | TKMaior                |      2 |     18 | >
 84 | TKHash                 |      3 |      1 | #
  1 | TKId                   |      3 |      2 | include
 66 | TKMenor                |      3 |     10 | <
  1 | TKId                   |      3 |     11 | stdlib
 80 | TKPonto                |      3 |     17 | .
  1 | TKId                   |      3 |     18 | h
 67 | TKMaior                |      3 |     19 | >
 84 | TKHash                 |      5 |      1 | #
  1 | TKId                   |      5 |      2 | define
  1 | TKId                   |      5 |      9 | TKId
 22 | TKCteInt               |      5 |     29 | 1
 84 | TKHash                 |      6 |      1 | #
  1 | TKId                   |      6 |      2 | define
  1 | TKId                   |      6 |      9 | TKVoid
 22 | TKCteInt               |      6 |     29 | 2
 84 | TKHash                 |      7 |      1 | #
  1 | TKId                   |      7 |      2 | define
  1 | TKId                   |      7 |      9 | TKInt
 22 | TKCteInt               |      7 |     29 | 3
 84 | TKHash                 |      8 |      1 | #
  1 | TKId                   |      8 |      2 | define
  1 | TKId                   |      8 |      9 | TKFloat
 22 | TKCteInt               |      8 |     29 | 4
 84 | TKHash                 |      9 |      1 | #
  1 | TKId                   |      9 |      2 | define
  1 | TKId                   |      9 |      9 | TKVirgula
 22 | TKCteInt               |      9 |     29 | 5
 84 | TKHash                 |     10 |      1 | #
  1 | TKId                   |     10 |      2 | define
  1 | TKId                   |     10 |      9 | TKDoisPontos
 22 | TKCteInt               |     10 |     29 | 6
 84 | TKHash                 |     11 |      1 | #
  1 | TKId                   |     11 |      2 | define
  1 | TKId                   |     11 |      9 | TKAbrePar
 22 | TKCteInt               |     11 |     29 | 7
 84 | TKHash                 |     12 |      1 | #
  1 | TKId                   |     12 |      2 | define
  1 | TKId                   |     12 |      9 | TKFechaPar
 22 | TKCteInt               |     12 |     29 | 8
 84 | TKHash                 |     13 |      1 | #
  1 | TKId                   |     13 |      2 | define
  1 | TKId                   |     13 |      9 | TKAtrib
 22 | TKCteInt               |     13 |     29 | 9
 84 | TKHash                 |     14 |      1 | #
  1 | TKId                   |     14 |      2 | define
  1 | TKId                   |     14 |      9 | TKPontoEVirgula
 22 | TKCteInt               |     14 |     28 | 10
 84 | TKHash                 |     15 |      1 | #
  1 | TKId                   |     15 |      2 | define
  1 | TKId                   |     15 |      9 | TKAbreChaves
 22 | TKCteInt               |     15 |     28 | 11
 84 | TKHash                 |     16 |      1 | #
  1 | TKId                   |     16 |      2 | define
  1 | TKId                   |     16 |      9 | TKFechaChaves
 22 | TKCteInt               |     16 |     28 | 12
 84 | TKHash                 |     17 |      1 | #
  1 | TKId                   |     17 |      2 | define
  1 | TKId                   |     17 |      9 | TKMais
 22 | TKCteInt               |     17 |     28 | 13
 84 | TKHash                 |     18 |      1 | #
  1 | TKId                   |     18 |      2 | define
  1 | TKId                   |     18 |      9 | TKDuploMais
 22 | TKCteInt               |     18 |     28 | 14
 84 | TKHash                 |     19 |      1 | #
  1 | TKId                   |     19 |      2 | define
  1 | TKId                   |     19 |      9 | TKProd
 22 | TKCteInt               |     19 |     28 | 15
 84 | TKHash                 |     20 |      1 | #
  1 | TKId                   |     20 |      2 | define
  1 | TKId                   |     20 |      9 | TKChar
 22 | TKCteInt               |     20 |     28 | 16
 84 | TKHash                 |     21 |      1 | #
  1 | TKId                   |     21 |      2 | define
  1 | TKId                   |     21 |      9 | TKSub
 22 | TKCteInt               |     21 |     28 | 17
 84 | TKHash                 |     22 |      1 | #
  1 | TKId                   |     22 |      2 | define
  1 | TKId                   |     22 |      9 | TKAbreColchete
 22 | TKCteInt               |     22 |     28 | 18
 84 | TKHash                 |     23 |      1 | #
  1 | TKId                   |     23 |      2 | define
  1 | TKId                   |     23 |      9 | TKFechaColchete
 22 | TKCteInt               |     23 |     28 | 19
 84 | TKHash                 |     24 |      1 | #
  1 | TKId                   |     24 |      2 | define
  1 | TKId                   |     24 |      9 | TKAtribMais
 22 | TKCteInt               |     24 |     28 | 20
 84 | TKHash                 |     25 |      1 | #
  1 | TKId                   |     25 |      2 | define
  1 | TKId                   |     25 |      9 | TKDouble
 22 | TKCteInt               |     25 |     28 | 21
 84 | TKHash                 |     26 |      1 | #
  1 | TKId                   |     26 |      2 | define
  1 | TKId                   |     26 |      9 | TKCteInt
 22 | TKCteInt               |     26 |     28 | 22
 84 | TKHash                 |     27 |      1 | #
  1 | TKId                   |     27 |      2 | define
  1 | TKId                   |     27 |      9 | TKElse
 22 | TKCteInt               |     27 |     28 | 23
 84 | TKHash                 |     28 |      1 | #
  1 | TKId                   |     28 |      2 | define
  1 | TKId                   |     28 |      9 | TKIf
 22 | TKCteInt               |     28 |     28 | 24
 84 | TKHash                 |     29 |      1 | #
  1 | TKId                   |     29 |      2 | define
  1 | TKId                   |     29 |      9 | TKString
 22 | TKCteInt               |     29 |     28 | 25
 84 | TKHash                 |     30 |      1 | #
  1 | TKId                   |     30 |      2 | define
  1 | TKId                   |     30 |      9 | TKFimArquivo
 22 | TKCteInt               |     30 |     28 | 26
 84 | TKHash                 |     31 |      1 | #
  1 | TKId                   |     31 |      2 | define
  1 | TKId                   |     31 |      9 | TKWhile
 22 | TKCteInt               |     31 |     28 | 27
 84 | TKHash                 |     32 |      1 | #
  1 | TKId                   |     32 |      2 | define
  1 | TKId                   |     32 |      9 | TKDo
 22 | TKCteInt               |     32 |     28 | 28
 84 | TKHash                 |     33 |      1 | #
  1 | TKId                   |     33 |      2 | define
